,Name,Gender,Wikipage?,Year created,month created,page author,disambiguation notes
29,John E. Carlstrom ,m,yes,2010,april,pohick2,
36,Risa Wechsler ,f,yes,2017,november,swistertwister,
37,Ellen G. Zweibel ,f,yes,2017,october,suslindisambiguator,
40,Deborah Bronk ,f,yes,2019,april,algae1974,
41,Rong Fu ,f,yes,2017,april,ryebre,
42,Isaac Held ,m,yes,2010,may,agnana,
46,Natalie Mahowald ,f,yes,2020,December,jesswade,
56,Alison M. Bell ,f,yes,2020,December,jesswade,
61,Andrew G. Campbell ,m,yes,2021,january,jesswade,
65,Leah E. Cowen ,f,yes,2021,november,HickoryOughtShirt,
71,Jonathan Eisen,,yes,2011,march,ppgardne,
72,Eva Engvall ,f,yes,2007,may,kosigrim,
77,John W. Fitzpatrick ,m,yes,2013,april,melly42,
80,Andrea L. Graham ,f,yes,2020,january,saguaromelee,
85,Jessica Hellmann ,f,yes,2018,february,jesswade,
90,Travis Huxman ,m,yes,2021,December,HickoryOughtShirt,
94,Susan Kaech ,f,yes,2019,September,pwillow14,
110,Paula McSteen ,f,yes,2021,September,DaffodilOcean,
111,Matthew Meyerson ,m,yes,2022,january,HickoryOughtShirt,
124,Abraham Palmer ,m,yes,2020,December,IntoThinAir,
144,Sally Shaywitz ,f,yes,2020,December,jesswade,
152,Nektarios Tavernarakis ,m,yes,2018,october,unidentified,
156,Kan Wang ,f,yes,2021,may,HickoryOughtShirt,
157,Joy K. Ward ,f,yes,2010,january,groundhogwilberwiever,
159,Stephen T. Warren ,m,yes,2020,march,HRShami,
176,William Dichtel ,m,yes,2015,September,simfish,
177,Vishva Dixit ,m,yes,2020,May,Amir.azhieh,
179,Laura Gagliardi ,f,yes,2019,april,tataral,
181,Prashant K. Jain ,m,yes,2018,june,YKim1020,
184,Yamuna Krishnan ,f,yes,2014,january,Krishnachandranvn,
185,Jason S. Lewis ,m,yes,2019,june,coldsweats,
187,David R. Liu ,m,yes,2013,may,serviceAT,
192,Nicola Pohl ,f,yes,2020,november,jesswade,
196,Sara E. Skrabalak ,f,yes,2019,march,nanobright,
198,Raymond C. Stevens ,m,yes,2007,october,bm4972,
201,H. Holden Thorp ,m,yes,2007,march,flameboy~enwiki,
210,Peidong Yang ,m,yes,2011,july,flutiki,
234,L. Catherine Brinson ,f,yes,2020,December,jesswade,
240,Susan Daniel ,f,yes,2020,September,jesswade,
245,Sharon Gerecht ,f,yes,2019,october,TJMSmith,
246,Richard D. Gitlin ,m,yes,2016,august,networkinventor,
253,Gerhard Klimeck ,m,yes,2012,january,spart doc,
255,Ju Li ,m,yes,2017,november,swistertwister,
256,JoAnn Slama Lighty ,f,yes,2020,December,jesswade,
258,Laura Marcu ,f,yes,2019,September,MSL20001,
263,Hridesh Rajan ,m,yes,2021,june,HickoryOughtShirt,
270,John L. Volakis ,m,yes,2021,march,FIU CEC,
272,Lan Yang ,f,yes,2018,august,Edwardx,
277,Andrew D. Maynard ,m,yes,2018,august,egarbee,
286,Peter B. de Menocal ,m,yes,2017,august,far025,
287,Andrea Donnellan ,f,yes,2020,august,tagishsimon,
290,Tessa M. Hill ,f,yes,2018,august,brucePL,
291,David A. Hodell ,m,yes,2008,october,mrtoes,
302,Rachel Ankeny ,f,yes,2020,november,flybellfly,
309,Daniela Rus ,f,yes,2008,july,jiuguang wang,
310,Steven Suib ,m,yes,2020,September,HRShami,
313,James Hampton Anderson ,m,yes,2016,July,ginarozier,
314,Carla Brodley ,f,yes,2018,october,david eppstein,
315,Lorrie Cranor ,f,yes,2007,December,someguy1221,
316,Pedro Domingos ,m,yes,2015,September,velvel2,
317,Kenneth D. Forbus ,m,yes,2004,march,unidentified,
318,Yolanda Gil ,f,yes,2018,october,david eppstein,
320,Yuri Gurevich ,m,yes,2008,march,beholdtheloaf,
322,Maria Klawe ,f,yes,2005,october,unidentified,
323,Peter M. Kogge ,m,yes,2011,july,gobelles,
324,Patrick Drew McDaniel ,m,yes,2016,october,zberkaycelik,
325,Debasis Mitra ,m,yes,2008,february,ketil3,
329,Munindar P. Singh ,m,yes,2013,april,akchopra,
331,David Touretzky ,m,yes,2005,june,unidentified,
332,Jeffrey S. Vetter ,m,yes,2020,july,catleaf,
333,Toby Walsh ,m,yes,2010,august,avobronte,
334,Daniel S. Weld ,m,yes,2008,november,espertus,
335,Hui Xiong ,m,yes,2019,December,diannaa,
336,John Baugh ,m,yes,2021,january,catcar28,
341,Harold P. Boas ,m,yes,2008,january,moondyne,
342,Leslie Hogben ,f,yes,2019,September,david eppstein,
343,Kristin Lauter ,f,yes,2010,march,syncom,
346,Karen Hunger Parshall ,f,yes,2012,july,suslindisambiguator,
347,Malgorzata Peszynska ,f,yes,2020,December,david eppstein,
349,Stephen B. Baylin ,m,yes,2016,December,natureium,
351,Yasmine Belkaid ,f,yes,2018,july,webmz,
355,Ronald W. Davis ,m,yes,2011,november,alexmorgan,
356,Catherine Drennan ,f,yes,2018,february,jesswade,
361,David H. Gutmann ,m,yes,2020,july,microglia2208,
362,Thomas H. Haines ,m,yes,2018,august,yeeno,
373,Douglas L. Mann ,m,yes,2019,may,hemashc,
380,D. Nageshwar Reddy ,m,yes,2011,august,foodie 377,
388,Patrick Aebischer ,m,yes,2005,october,rama,
393,Nita A. Farahany ,f,yes,2019,april,sciencemusical,
394,Eva Lucille Feldman ,f,yes,2007,may,basilseal,
402,Stefan M. Pulst ,m,yes,2006,august,xiaata,
404,Steven L. Small ,m,yes,2019,September,duncanslp,
408,Patricia Babbitt ,f,yes,2018,march,duncan.hull,
410,Julie A. Johnson ,f,yes,2020,november,HickoryOughtShirt,
417,Charles H. Bennett ,m,yes,2005,march,unidentified,
418,Eberhard Bodenschatz ,m,yes,2011,february,chillarmasala,
421,Bulbul Chakraborty ,f,yes,2019,march,daphneklo,
426,Graciela Gelmini ,f,yes,2021,april,aquaDTRS,
427,Neil Gershenfeld ,m,yes,2004,november,PsiXi,
432,Ying-Cheng Lai ,m,yes,2014,april,sijothankam,
434,Manfred Lindner ,m,yes,2010,march,maroansika,
435,Eric Mazur ,m,yes,2006,february,wink 13,
437,Roberto Morandotti ,m,yes,2014,july,holger578,
442,Susan Seestrom ,f,yes,2021,December,david eppstein,
445,Christopher Stubbs ,m,yes,2008,august,backpacker314159,
446,Nandini Trivedi ,f,yes,2020,December,jesswade,
454,Stefan Hofmann ,m,yes,2018,february,germanboy9,
461,Barbara A. Wanchisen ,f,no,,,,
465,Janet Box-Steffensmeier ,f,yes,2018,february,chetsford,
466,R. Alta Charo ,f,yes,2009,march,live2right,
471,Kristen Olson ,f,yes,2007,january,awartha,
474,Leah Gerber ,f,yes,2019,october,jesswade,
475,Ramanan Laxminarayan ,m,yes,2020,march,tayi arajakate,
481,Sudipto Banerjee ,m,yes,2015,September,solomon7968,
486,Ying Lu ,f,yes,2016,march,hannarogoz,
488,Elizabeth A. Stuart ,f,yes,2016,july,david eppstein,
